Number queries,k value,Temperature value,Number correct first,Number correct second,Precision first,Recall first,Precision second,Recall second,Number improved,Number worsened,Number same
20,10,0.75,11,18,0.11000000000000001,0.00869548872180451,0.09,0.013487273739905317,4,0,6
20,10,0.75,8,13,0.08,0.004927051671732523,0.065,0.009927051671732523,1,0,9
20,10,0.5,23,46,0.23000000000000004,0.007602998509345258,0.22999999999999998,0.014144839222238604,7,0,3
20,10,0.5,4,6,0.04,0.0030509199828840394,0.03,0.004746826415632578,2,0,8
20,10,0.5,21,43,0.21000000000000002,0.009326147882673764,0.215,0.019849867696962013,7,0,3
20,10,0.5,6,7,0.06000000000000001,0.004636363636363636,0.034999999999999996,0.005136363636363636,1,0,9
20,10,0.5,11,21,0.11000000000000001,0.008390140671653277,0.10500000000000001,0.015806327659268836,4,0,6
20,10,0.5,11,30,0.11000000000000001,0.016662457912457913,0.15,0.035547746063172556,7,0,3


20,10,0.5,65,48,0.325,0.016376562244571194,0.24,0.015372971906322901,3,3,4
40,10,0.5,51,52,0.1275,0.007747304423035834,0.13,0.009081269908830162,5,6,9
40,10,0.5,44,56,0.11000000000000001,0.010832886251059187,0.13999999999999999,0.013601930903958262,7,2,11


Retrieve 20, calculate number correct. Retrieve 10 using the llm query, then append the 10 first non-included passages. Calculate number correct.
40,10,0.5,65,69,0.1625,0.017777589607312055,0.17250000000000001,0.02324618864112848,5,4,11
40,10,0.5,54,59,0.135,0.009625317413702676,0.14750000000000002,0.0092071067617508,6,5,9
40,10,0.5,21,18,0.052500000000000005,0.012385596317908969,0.045,0.009646572702374474,2,5,13
40,10,0.5,41,47,0.1025,0.009665849638375162,0.11750000000000001,0.013740197963675312,7,2,11
40,10,0.5,41,40,0.1025,0.007168084066174495,0.1,0.006651289433187957,3,4,13
40,10,0.5,46,51,0.11499999999999999,0.008427666327132259,0.1275,0.00832053705984855,7,5,8
40,10,0.5,38,46,0.095,0.013307641472698101,0.11499999999999999,0.01737045960430371,9,3,8
40,10,0.5,45,59,0.1125,0.013920315340278827,0.14750000000000002,0.017360455016325365,6,3,11
40,10,0.5,67,79,0.1675,0.013684577922668195,0.1975,0.01568020638841108,8,5,7
40,10,0.5,32,34,0.08,0.010969023785365614,0.08499999999999999,0.013394542222885126,5,4,11
40,10,0.5,28,39,0.06999999999999999,0.006529931228322886,0.0975,0.009183844793777632,8,2,10
40,10,0.5,18,19,0.045,0.0034492647764200017,0.0475,0.004109940259129382,2,3,15
40,10,0.5,53,50,0.1325,0.00688477754537158,0.125,0.007186273052867323,4,5,11
40,10,0.5,63,68,0.1575,0.015572276543064586,0.16999999999999998,0.01738578893311683,8,4,8
40,10,0.5,39,44,0.0975,0.009284712361017643,0.11000000000000001,0.010949781360645467,5,3,12
40,10,0.5,23,25,0.057499999999999996,0.005410105077728906,0.0625,0.003939076265452954,3,5,12
40,10,0.5,42,50,0.10500000000000001,0.005363834245683876,0.125,0.007214718754505356,6,3,11
40,10,0.5,18,20,0.045,0.005568858267641516,0.05,0.004195000127517739,5,3,12

Only taking the recall calculation for second only if we retrieved more than 0 passages.
40,10,0.5,41,29,0.1025,0.009805074696193117,0.18125,0.01969441965494597,1,8,11
40,10,0.5,51,57,0.1275,0.015768676574521696,0.31666666666666665,0.0379686301949891,6,2,12
40,10,0.5,43,54,0.1075,0.01753511931523039,0.225,0.027969386480609437,8,1,11
40,10,0.5,30,21,0.075,0.0035421979980803514,0.13125,0.006632487202340144,1,5,14


Taking the recall calculation for first AND second only if we retrieved more than 0 passages.
40,10,0.5,39,42,0.195,0.013399180224119619,0.23333333333333334,0.01673972011687838,3,3,14
40,10,0.5,67,70,0.2791666666666667,0.022497074165175438,0.35,0.03303361935476058,5,5,10
40,10,0.5,66,73,0.30000000000000004,0.02426710703439604,0.30416666666666664,0.023501438910503616,8,3,9
40,10,0.5,45,49,0.225,0.018557205377623703,0.27222222222222225,0.021442656428712206,5,5,10
40,10,0.5,50,51,0.2777777777777778,0.022196344823786067,0.31875,0.03391679640562461,5,4,11
40,10,0.5,41,54,0.22777777777777775,0.014690653545429373,0.30000000000000004,0.02531376869827162,7,3,10
40,10,0.5,43,50,0.23888888888888887,0.02294061970029051,0.25,0.025684023973388658,5,2,13
40,10,0.5,26,26,0.14444444444444446,0.022319346158951894,0.1625,0.02972355769230769,3,4,13
